"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","skynet1",,,,"User:","kelly"
"Cmdline:","dstat -tcmrd --disk-util -ny --output output/stats_1444187956.csv",,,,"Date:","06 Oct 2015 23:19:16 EDT"

"system","total cpu usage",,,,,,"memory usage",,,,"io/total",,"dsk/total",,"sda","net/total",,"system",
06-10 23:21:29,35.687,8.701,41.614,0.0,0.0,13.997,746397696.0,531701760.0,4736770048.0,19267969024.0,0.0,0.0,0.0,0.0,0.0,52665160.0,177987072.0,16883.0,16390.0
06-10 23:21:30,36.730,8.805,41.258,0.0,0.0,13.208,746725376.0,531701760.0,4736770048.0,19267641344.0,0.0,0.0,0.0,0.0,0.0,52701488.0,177793744.0,17127.0,17010.0
06-10 23:21:31,35.840,10.150,41.479,0.0,0.0,12.531,746790912.0,531701760.0,4736770048.0,19267575808.0,0.0,0.0,0.0,0.0,0.0,52679124.0,177404638.0,16587.0,15580.0
06-10 23:21:32,37.750,9.250,40.500,0.0,0.0,12.500,746004480.0,531705856.0,4736765952.0,19268362240.0,0.0,2.0,0.0,20480.0,0.0,53239366.0,179611378.0,16890.0,16639.0
06-10 23:21:33,35.118,8.344,44.458,0.0,0.0,12.080,747016192.0,531705856.0,4736770048.0,19267346432.0,0.0,3.0,0.0,12288.0,0.0,50167150.0,168950644.0,15791.0,14085.0
06-10 23:21:34,36.055,9.171,40.578,0.0,0.0,14.196,746786816.0,531705856.0,4736770048.0,19267575808.0,0.0,0.0,0.0,0.0,0.0,53540880.0,180441036.0,16509.0,15995.0
06-10 23:21:35,36.364,9.343,41.793,0.0,0.0,12.500,746328064.0,531705856.0,4736770048.0,19268034560.0,0.0,0.0,0.0,0.0,0.0,52822514.0,178013558.0,16101.0,15045.0
06-10 23:21:36,24.747,6.313,59.975,0.0,0.0,8.965,745914368.0,531705856.0,4736770048.0,19268448256.0,0.0,0.0,0.0,0.0,0.0,36405806.0,122794936.0,11743.0,11208.0
06-10 23:21:37,0.0,0.125,99.875,0.0,0.0,0.0,745426944.0,531705856.0,4736770048.0,19268935680.0,0.0,0.0,0.0,0.0,0.0,578.0,596.0,63.0,86.0
06-10 23:21:38,0.125,0.0,99.751,0.125,0.0,0.0,745066496.0,531705856.0,4736770048.0,19269296128.0,0.0,2.0,0.0,12288.0,0.0,140.0,596.0,80.0,123.0
06-10 23:21:39,0.0,0.0,100.0,0.0,0.0,0.0,744771584.0,531705856.0,4736770048.0,19269591040.0,0.0,1.0,0.0,4096.0,0.0,426.0,748.0,79.0,118.0
06-10 23:21:40,0.125,0.0,99.875,0.0,0.0,0.0,744771584.0,531705856.0,4736770048.0,19269591040.0,0.0,0.0,0.0,0.0,0.0,578.0,612.0,56.0,87.0
06-10 23:21:41,0.0,0.0,100.0,0.0,0.0,0.0,744771584.0,531705856.0,4736770048.0,19269591040.0,0.0,0.0,0.0,0.0,0.0,140.0,596.0,52.0,74.0
06-10 23:21:42,0.125,0.0,99.875,0.0,0.0,0.0,744771584.0,531705856.0,4736770048.0,19269591040.0,0.0,0.0,0.0,0.0,0.0,140.0,596.0,61.0,97.0
06-10 23:21:43,0.0,0.0,100.0,0.0,0.0,0.0,744767488.0,531709952.0,4736770048.0,19269591040.0,0.0,2.0,0.0,12288.0,0.0,578.0,596.0,67.0,103.0
06-10 23:21:44,0.0,0.0,100.0,0.0,0.0,0.0,744767488.0,531709952.0,4736770048.0,19269591040.0,0.0,0.0,0.0,0.0,0.0,426.0,748.0,87.0,140.0
06-10 23:21:45,0.125,0.0,99.875,0.0,0.0,0.0,744767488.0,531709952.0,4736770048.0,19269591040.0,0.0,1.0,0.0,4096.0,0.0,140.0,596.0,53.0,76.0
06-10 23:21:46,0.0,0.0,100.0,0.0,0.0,0.0,744767488.0,531709952.0,4736770048.0,19269591040.0,0.0,0.0,0.0,0.0,0.0,140.0,612.0,69.0,110.0
06-10 23:21:47,0.125,0.125,99.750,0.0,0.0,0.0,743288832.0,531709952.0,4736770048.0,19271069696.0,0.0,0.0,0.0,0.0,0.0,1174.0,1674.0,163.0,271.0
06-10 23:21:48,0.0,0.0,100.0,0.0,0.0,0.0,743288832.0,531709952.0,4736770048.0,19271069696.0,0.0,2.0,0.0,40960.0,0.0,332.0,872.0,48.0,72.0
06-10 23:21:49,0.0,0.0,100.0,0.0,0.0,0.0,743415808.0,531709952.0,4736770048.0,19270942720.0,0.0,0.0,0.0,0.0,0.0,988.0,1956.0,84.0,124.0
06-10 23:21:50,0.125,0.0,99.875,0.0,0.0,0.0,743546880.0,531709952.0,4736774144.0,19270807552.0,0.0,0.0,0.0,0.0,0.0,2774.0,1572.0,118.0,175.0
06-10 23:21:51,0.0,0.0,100.0,0.0,0.0,0.0,743403520.0,531709952.0,4736774144.0,19270950912.0,0.0,9.0,0.0,36864.0,0.0,668.0,930.0,75.0,75.0
06-10 23:21:52,0.125,0.0,99.875,0.0,0.0,0.0,743403520.0,531709952.0,4736774144.0,19270950912.0,0.0,0.0,0.0,0.0,0.0,492.0,824.0,51.0,67.0
06-10 23:21:53,0.0,0.0,100.0,0.0,0.0,0.0,743399424.0,531714048.0,4736774144.0,19270950912.0,0.0,2.0,0.0,20480.0,0.0,578.0,596.0,51.0,72.0
06-10 23:21:54,0.0,0.0,100.0,0.0,0.0,0.0,743399424.0,531714048.0,4736774144.0,19270950912.0,0.0,0.0,0.0,0.0,0.0,426.0,748.0,90.0,131.0
06-10 23:21:55,0.125,0.0,99.875,0.0,0.0,0.0,743399424.0,531714048.0,4736774144.0,19270950912.0,0.0,0.0,0.0,0.0,0.0,140.0,596.0,40.0,54.0
06-10 23:21:56,0.0,0.125,99.875,0.0,0.0,0.0,743399424.0,531714048.0,4736774144.0,19270950912.0,0.0,0.0,0.0,0.0,0.0,1384.0,1912.0,133.0,260.0
06-10 23:21:57,0.0,0.0,100.0,0.0,0.0,0.0,743550976.0,531714048.0,4736774144.0,19270799360.0,0.0,4.0,0.0,16384.0,0.0,140.0,596.0,60.0,76.0
06-10 23:21:58,0.125,0.0,99.751,0.125,0.0,0.0,743550976.0,531714048.0,4736774144.0,19270799360.0,0.0,2.0,0.0,61440.0,0.0,140.0,612.0,64.0,103.0
06-10 23:21:59,0.0,0.0,100.0,0.0,0.0,0.0,743600128.0,531714048.0,4736774144.0,19270750208.0,0.0,0.0,0.0,0.0,0.0,864.0,748.0,90.0,137.0
06-10 23:22:00,0.0,0.0,100.0,0.0,0.0,0.0,743600128.0,531714048.0,4736774144.0,19270750208.0,0.0,0.0,0.0,0.0,0.0,140.0,596.0,42.0,68.0
06-10 23:22:01,1.905,0.544,97.551,0.0,0.0,0.0,743854080.0,531714048.0,4736778240.0,19270492160.0,0.0,0.0,0.0,0.0,0.0,2753330.0,2186360.0,23701.0,1122.0
06-10 23:22:02,0.140,0.0,99.721,0.0,0.0,0.140,743776256.0,531714048.0,4736778240.0,19270569984.0,0.0,0.0,0.0,0.0,0.0,3463942.0,2842474.0,30134.0,854.0
06-10 23:22:03,0.0,0.140,99.860,0.0,0.0,0.0,744132608.0,531718144.0,4736778240.0,19270209536.0,0.0,25.0,0.0,147456.0,0.400,3473168.0,2850068.0,30654.0,857.0
06-10 23:22:04,0.0,0.140,99.720,0.0,0.0,0.140,743866368.0,531718144.0,4736778240.0,19270475776.0,0.0,0.0,0.0,0.0,0.0,3472128.0,2849516.0,30728.0,883.0
06-10 23:22:05,0.0,0.0,100.0,0.0,0.0,0.0,744017920.0,531718144.0,4736778240.0,19270324224.0,0.0,0.0,0.0,0.0,0.0,3472982.0,2849748.0,30117.0,857.0
06-10 23:22:06,0.0,0.0,100.0,0.0,0.0,0.0,743358464.0,531718144.0,4736778240.0,19270983680.0,0.0,0.0,0.0,0.0,0.0,3464666.0,2843220.0,30254.0,848.0
06-10 23:22:07,0.0,0.140,99.860,0.0,0.0,0.0,743604224.0,531718144.0,4736778240.0,19270737920.0,0.0,0.0,0.0,0.0,0.0,3473480.0,2850580.0,30268.0,841.0
06-10 23:22:08,0.140,0.140,99.720,0.0,0.0,0.0,743612416.0,531718144.0,4736778240.0,19270729728.0,0.0,2.0,0.0,24576.0,0.0,3473286.0,2851012.0,30581.0,858.0
06-10 23:22:09,0.0,0.0,100.0,0.0,0.0,0.0,743604224.0,531718144.0,4736778240.0,19270737920.0,0.0,4.0,0.0,16384.0,0.0,3474114.0,2850966.0,30325.0,838.0
06-10 23:22:10,0.0,0.0,100.0,0.0,0.0,0.0,743649280.0,531718144.0,4736778240.0,19270692864.0,0.0,0.0,0.0,0.0,0.0,3471920.0,2849124.0,30205.0,832.0
06-10 23:22:11,2.192,0.685,96.986,0.0,0.0,0.137,743542784.0,531718144.0,4736778240.0,19270799360.0,0.0,0.0,0.0,0.0,0.0,3011228.0,2403200.0,26170.0,1352.0
06-10 23:22:12,0.0,0.0,99.860,0.0,0.0,0.140,743718912.0,531718144.0,4736778240.0,19270623232.0,0.0,0.0,0.0,0.0,0.0,3468808.0,2846698.0,31626.0,843.0
06-10 23:22:13,0.0,0.0,100.0,0.0,0.0,0.0,743845888.0,531722240.0,4736774144.0,19270496256.0,0.0,2.0,0.0,86016.0,0.400,3468098.0,2845844.0,31660.0,843.0
06-10 23:22:14,0.0,0.132,99.868,0.0,0.0,0.0,743985152.0,531722240.0,4736782336.0,19270348800.0,0.0,0.0,0.0,0.0,0.0,1654510.0,1357892.0,15178.0,517.0
06-10 23:22:15,0.0,0.0,100.0,0.0,0.0,0.0,743985152.0,531722240.0,4736782336.0,19270348800.0,0.0,22.0,0.0,90112.0,0.0,268.0,596.0,92.0,68.0
06-10 23:22:16,0.125,0.0,99.875,0.0,0.0,0.0,743858176.0,531722240.0,4736782336.0,19270475776.0,0.0,0.0,0.0,0.0,0.0,140.0,612.0,33.0,45.0
06-10 23:22:17,0.0,0.0,100.0,0.0,0.0,0.0,743858176.0,531722240.0,4736782336.0,19270475776.0,0.0,0.0,0.0,0.0,0.0,578.0,596.0,44.0,60.0
06-10 23:22:18,0.0,0.0,99.875,0.125,0.0,0.0,743854080.0,531730432.0,4736778240.0,19270475776.0,0.0,2.0,0.0,12288.0,0.0,140.0,596.0,52.0,77.0
06-10 23:22:19,0.125,0.0,99.875,0.0,0.0,0.0,743849984.0,531730432.0,4736782336.0,19270475776.0,0.0,0.0,0.0,0.0,0.0,283.0,748.0,67.0,96.0
06-10 23:22:20,0.0,0.0,100.0,0.0,0.0,0.0,743845888.0,531730432.0,4736786432.0,19270475776.0,0.0,0.0,0.0,0.0,0.0,1366.0,596.0,51.0,77.0
